Term,Course/Section,Course Offering Id,Days Met,Start Date,End Date,Start Time,End Time,Room,Instructor
202211 (CS Spring)  ,KINE 637/600 LEC,11373,MW,1/18/2022,5/10/2022,5:45 PM,7:00 PM,GGB  102,Fluckey
202211 (CS Spring)  ,KINE 639/600 LEC,11374,T,1/18/2022,5/10/2022,2:20 PM,5:10 PM,GGB  232,Martin
202211 (CS Spring)  ,KINE 640/600 LEC,41445,TR,1/18/2022,5/10/2022,3:55 PM,5:10 PM,GGB  233,Wright
202211 (CS Spring)  ,KINE 647/600 LAB,11375,,1/18/2022,5/10/2022,,,,Fluckey
202211 (CS Spring)  ,KINE 647/600 LEC,11375,F,1/18/2022,5/10/2022,2:20 PM,5:10 PM,GGB  104,Fluckey
202211 (CS Spring)  ,KINE 651/601 LEC,39214,F,1/18/2022,5/10/2022,10:20 AM,12:20 PM,HCRB 110,Engelen
202211 (CS Spring)  ,KINE 681/602 SEM,41446,F,1/18/2022,5/10/2022,3:00 PM,3:50 PM,GGB  202,Yentes
202211 (CS Spring)  ,KINE 682/600 SEM,44266,W,1/18/2022,5/10/2022,4:20 PM,5:10 PM,HCRB 110,Deutz
202211 (CS Spring)  ,KINE 682/602 SEM,36749,R,1/18/2022,5/10/2022,4:30 PM,5:20 PM,HCRB 110,Kreider
202211 (CS Spring)  ,KINE 683/602 PRAC,26129,,1/18/2022,5/10/2022,,,,Kennedy
202211 (CS Spring)  ,KINE 683/614 PRAC,13865,,1/18/2022,5/10/2022,,,,Ellsworth
202211 (CS Spring)  ,KINE 683/623 PRAC,18773,,1/18/2022,5/10/2022,,,,Martin
202211 (CS Spring)  ,KINE 684/600 PRAC,14323,,1/18/2022,5/10/2022,,,,Lightfoot
202211 (CS Spring)  ,KINE 684/602 PRAC,20020,,1/18/2022,5/10/2022,,,,Kreider
202211 (CS Spring)  ,KINE 685/601 INS,18774,,1/18/2022,5/10/2022,,,,Engelen
202211 (CS Spring)  ,KINE 685/602 INS,18183,,1/18/2022,5/10/2022,,,,Buchanan
202211 (CS Spring)  ,KINE 685/603 INS,22799,,1/18/2022,5/10/2022,,,,Nordin
202211 (CS Spring)  ,KINE 685/604 INS,23090,,1/18/2022,5/10/2022,,,,Wright
